linea,tension,se_inicial,se_final,volt_nom,conductor,i_nominal,empresa,longpropia,anotacion,depto,cod_dep,objectid_1
BARBOSA (ANTIOQUIA) - LA TASAJERA 1 220 kV,220 kV,BARB,TJRA,220,ACSR 1351DP,805,EEPPM,14.6 Km, ,ANTIOQUIA,5,140
BELLO - EL SALTO 1,220 kV,BLLO,SLTO,220,ACSR 1113BJ,915,EEPPM,71.7 Km, ,ANTIOQUIA,5,141
LOS PALOS - GUATIGUARA 1 230 kV,230 kV,NBUC,PLS,230, ,710,ISA,8.9 Km, ,SANTANDER,68,142
GUATIGUARA - BUCARAMANGA 1,220 kV,NBUC,BUCA,220, ,810, , , ,SANTANDER,68,143
SAN MATEO CENS - COROZO 1,220 kV,CRZO,SMT,220,ACSR,753, , , ,NORTE DE SANTANDER,54,144
VALLEDUPAR - CUESTECITAS 1 220 kV,220 kV,CUES,VDUP,220,ACAR 918,630,TRANSELCA,116.371 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,CESAR,20,145
CUESTECITAS - GUAJIRA 1,220 kV,CUES,TGJA,220, ,810, , , ,GUAJIRA,44,146
GUAJIRA - SANTA MARTA 2 220 kV,220 kV,SMAR,TGJA,220,AAAC 927.2,630,TRANSELCA,91.51 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,GUAJIRA,44,147
GUADALUPE IV - PORCE II 1,220 kV,GUAD,PORCE II,220, ,810, , , ,ANTIOQUIA,5,148
JUANCHITO (220 KV) - PAEZ 1 230 kV,230 kV,JUTO,PAEZ,230, ,868,ISA,34 Km, ,CAUCA,19,149
LA TASAJERA - BELLO 1,220 kV,TJRA,BLLO,220, ,810, , , ,ANTIOQUIA,5,150
NUEVA BARRANQUILLA - TEBSA 1 220 kV,220 kV,NBQU,TBSA,220, ,787,TRANSELCA,22.956 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,151
OCCIDENTE - LA TASAJERA 1,220 kV,TJRA,OCCI,220,ACSR 1351DP,805,EEPPM,23 Km, ,ANTIOQUIA,5,152
PORCE II - EL SALTO 1,220 kV,SLTO,PORCE II,220, ,915,EEPPM,10.91 Km, ,ANTIOQUIA,5,153
PURNIO - LA SIERRA 2,220 kV,PURN,LSIE,220, ,984, , , ,ANTIOQUIA,5,154
SABANALARGA  - BOLIVAR 1 220 kV,220 kV,SAB,BOLI,220,AAAC 927.2,630,TRANSELCA,80.183 Km,Documento TRANSELCA 004831 del 27/09/02 - Radicado UPME 23619 del 30/09/02.,ATLANTICO,8,155
